time,cstrategy,dd
2019-01-02,0.0,0.0
2019-01-03,311.0,0.0
2019-01-04,230.0,-81.0
2019-01-05,,
2019-01-06,,
2019-01-07,-334.0,-645.0
2019-01-08,-140.0,-451.0
2019-01-09,-112.0,-423.0
2019-01-10,-341.0,-652.0
2019-01-11,-417.0,-728.0
2019-01-12,,
2019-01-13,,
2019-01-14,-417.0,-728.0
2019-01-15,-642.0,-953.0
2019-01-16,-642.0,-953.0
2019-01-17,-669.0,-980.0
2019-01-18,-826.0,-1137.0
2019-01-19,,
2019-01-20,,
2019-01-21,-597.0,-908.0
2019-01-22,-624.0,-935.0
2019-01-23,-425.0,-736.0
2019-01-24,-364.0,-675.0
2019-01-25,,
2019-01-26,,
2019-01-27,,
2019-01-28,-445.0,-756.0
2019-01-29,-251.0,-562.0
2019-01-30,-207.0,-518.0
2019-01-31,73.0,-238.0
2019-02-01,125.0,-186.0
2019-02-02,,
2019-02-03,,
2019-02-04,-24.0,-335.0
2019-02-05,-64.0,-375.0
2019-02-06,2206.0,0.0
2019-02-07,1477.0,-729.0
2019-02-08,1066.0,-1140.0
2019-02-09,,
2019-02-10,,
2019-02-11,823.0,-1383.0
2019-02-12,516.0,-1690.0
2019-02-13,226.0,-1980.0
2019-02-14,793.0,-1413.0
2019-02-15,793.0,-1413.0
2019-02-16,,
2019-02-17,,
2019-02-18,464.0,-1742.0
2019-02-19,611.0,-1595.0
2019-02-20,808.0,-1398.0
2019-02-21,1008.0,-1198.0
2019-02-22,1009.0,-1197.0
2019-02-23,,
2019-02-24,,
2019-02-25,1009.0,-1197.0
2019-02-26,961.0,-1245.0
2019-02-27,1054.0,-1152.0
2019-02-28,1129.0,-1077.0
2019-03-01,1048.0,-1158.0
2019-03-02,,
2019-03-03,,
2019-03-04,,
2019-03-05,,
2019-03-06,1048.0,-1158.0
2019-03-07,871.0,-1335.0
2019-03-08,1449.0,-757.0
2019-03-09,,
2019-03-10,,
2019-03-11,1476.0,-730.0
2019-03-12,1503.0,-703.0
2019-03-13,1262.0,-944.0
2019-03-14,1274.0,-932.0
2019-03-15,1273.0,-933.0
2019-03-16,,
2019-03-17,,
2019-03-18,1309.0,-897.0
2019-03-19,1523.0,-683.0
2019-03-20,2316.0,0.0
2019-03-21,2235.0,-81.0
2019-03-22,2422.0,0.0
2019-03-23,,
2019-03-24,,
2019-03-25,2260.0,-162.0
2019-03-26,2098.0,-324.0
2019-03-27,4830.0,0.0
2019-03-28,4479.0,-351.0
2019-03-29,4391.0,-439.0
2019-03-30,,
2019-03-31,,
2019-04-01,4358.0,-472.0
2019-04-02,4361.0,-469.0
2019-04-03,4050.0,-780.0
2019-04-04,4019.0,-811.0
2019-04-05,4019.0,-811.0
2019-04-06,,
2019-04-07,,
2019-04-08,4019.0,-811.0
2019-04-09,4059.0,-771.0
2019-04-10,4074.0,-756.0
2019-04-11,4591.0,-239.0
2019-04-12,4267.0,-563.0
2019-04-13,,
2019-04-14,,
