time,cstrategy,dd
2019-01-02,232.0,0.0
2019-01-03,232.0,0.0
2019-01-04,91.0,-175.0
2019-01-05,,
2019-01-06,,
2019-01-07,63.0,-203.0
2019-01-08,-231.0,-497.0
2019-01-09,-183.0,-449.0
2019-01-10,-183.0,-449.0
2019-01-11,-183.0,-449.0
2019-01-12,,
2019-01-13,,
2019-01-14,-76.0,-342.0
2019-01-15,-172.0,-438.0
2019-01-16,-265.0,-531.0
2019-01-17,-162.0,-428.0
2019-01-18,-162.0,-428.0
2019-01-19,,
2019-01-20,,
2019-01-21,-390.0,-656.0
2019-01-22,-214.0,-480.0
2019-01-23,-335.0,-601.0
2019-01-24,-192.0,-458.0
2019-01-25,,
2019-01-26,,
2019-01-27,,
2019-01-28,-175.0,-441.0
2019-01-29,57.0,-209.0
2019-01-30,-110.0,-376.0
2019-01-31,-414.0,-680.0
2019-02-01,-414.0,-680.0
2019-02-02,,
2019-02-03,,
2019-02-04,-23.0,-289.0
2019-02-05,-134.0,-400.0
2019-02-06,98.0,-168.0
2019-02-07,330.0,0.0
2019-02-08,388.0,-174.0
2019-02-09,,
2019-02-10,,
2019-02-11,388.0,-174.0
2019-02-12,214.0,-348.0
2019-02-13,305.0,-257.0
2019-02-14,537.0,-25.0
2019-02-15,504.0,-58.0
2019-02-16,,
2019-02-17,,
2019-02-18,453.0,-109.0
2019-02-19,128.0,-434.0
2019-02-20,360.0,-202.0
2019-02-21,175.0,-387.0
2019-02-22,247.0,-315.0
2019-02-23,,
2019-02-24,,
2019-02-25,318.0,-244.0
2019-02-26,163.0,-399.0
2019-02-27,119.0,-443.0
2019-02-28,149.0,-413.0
2019-03-01,624.0,0.0
2019-03-02,,
2019-03-03,,
2019-03-04,,
2019-03-05,,
2019-03-06,687.0,0.0
2019-03-07,490.0,-197.0
2019-03-08,612.0,-75.0
2019-03-09,,
2019-03-10,,
2019-03-11,705.0,0.0
2019-03-12,705.0,0.0
2019-03-13,420.0,-285.0
2019-03-14,420.0,-285.0
2019-03-15,357.0,-348.0
2019-03-16,,
2019-03-17,,
2019-03-18,525.0,-180.0
2019-03-19,662.0,-43.0
2019-03-20,894.0,0.0
2019-03-21,1058.0,0.0
2019-03-22,1217.0,0.0
2019-03-23,,
2019-03-24,,
2019-03-25,1225.0,0.0
2019-03-26,1148.0,-77.0
2019-03-27,785.0,-440.0
2019-03-28,1107.0,-118.0
2019-03-29,1159.0,-66.0
2019-03-30,,
2019-03-31,,
2019-04-01,1159.0,-66.0
2019-04-02,1097.0,-128.0
2019-04-03,1329.0,0.0
2019-04-04,1400.0,0.0
2019-04-05,1350.0,-50.0
2019-04-06,,
2019-04-07,,
2019-04-08,1373.0,-27.0
2019-04-09,1215.0,-185.0
2019-04-10,1174.0,-226.0
2019-04-11,1174.0,-226.0
2019-04-12,1174.0,-226.0
2019-04-13,,
2019-04-14,,
2019-04-15,1061.0,-339.0
2019-04-16,992.0,-408.0
2019-04-17,767.0,-633.0
2019-04-18,767.0,-633.0
2019-04-19,,
2019-04-20,,
2019-04-21,,
2019-04-22,858.0,-542.0
2019-04-23,858.0,-542.0
2019-04-24,598.0,-802.0
2019-04-25,739.0,-661.0
2019-04-26,698.0,-702.0
2019-04-27,,
2019-04-28,,
2019-04-29,646.0,-754.0
2019-04-30,538.0,-862.0
2019-05-01,,
2019-05-02,505.0,-895.0
2019-05-03,505.0,-895.0
2019-05-04,,
2019-05-05,,
2019-05-06,529.0,-871.0
2019-05-07,676.0,-724.0
2019-05-08,884.0,-516.0
2019-05-09,1023.0,-377.0
2019-05-10,1022.0,-378.0
2019-05-11,,
2019-05-12,,
2019-05-13,1254.0,-146.0
2019-05-14,1254.0,-146.0
2019-05-15,1264.0,-136.0
2019-05-16,1034.0,-366.0
2019-05-17,1498.0,0.0
2019-05-18,,
2019-05-19,,
2019-05-20,1666.0,0.0
2019-05-21,1822.0,0.0
2019-05-22,1822.0,0.0
2019-05-23,1837.0,0.0
2019-05-24,1946.0,0.0
2019-05-25,,
2019-05-26,,
2019-05-27,1956.0,0.0
2019-05-28,1925.0,-31.0
2019-05-29,1952.0,-4.0
2019-05-30,1891.0,-65.0
2019-05-31,2156.0,0.0
2019-06-01,,
2019-06-02,,
2019-06-03,2175.0,0.0
2019-06-04,2020.0,-155.0
2019-06-05,1992.0,-183.0
2019-06-06,1992.0,-183.0
2019-06-07,2000.0,-175.0
2019-06-08,,
2019-06-09,,
2019-06-10,2000.0,-175.0
2019-06-11,2141.0,-34.0
2019-06-12,2214.0,0.0
2019-06-13,2197.0,-17.0
2019-06-14,2331.0,0.0
2019-06-15,,
2019-06-16,,
2019-06-17,2205.0,-126.0
2019-06-18,2205.0,-126.0
2019-06-19,1944.0,-387.0
2019-06-20,,
2019-06-21,1813.0,-518.0
2019-06-22,,
2019-06-23,,
2019-06-24,1790.0,-541.0
2019-06-25,1790.0,-541.0
2019-06-26,1790.0,-541.0
2019-06-27,2022.0,-309.0
2019-06-28,2116.0,-215.0
2019-06-29,,
2019-06-30,,
2019-07-01,2152.0,-179.0
2019-07-02,2033.0,-298.0
2019-07-03,2033.0,-298.0
2019-07-04,2115.0,-216.0
2019-07-05,2184.0,-147.0
2019-07-06,,
2019-07-07,,
2019-07-08,2204.0,-127.0
2019-07-09,,
2019-07-10,2020.0,-311.0
2019-07-11,2020.0,-311.0
2019-07-12,1442.0,-889.0
2019-07-13,,
2019-07-14,,
2019-07-15,1388.0,-943.0
2019-07-16,1298.0,-1033.0
2019-07-17,1193.0,-1138.0
2019-07-18,645.0,-1686.0
2019-07-19,645.0,-1686.0
2019-07-20,,
2019-07-21,,
2019-07-22,541.0,-1790.0
2019-07-23,473.0,-1858.0
2019-07-24,632.0,-1699.0
2019-07-25,632.0,-1699.0
2019-07-26,620.0,-1711.0
2019-07-27,,
2019-07-28,,
2019-07-29,233.0,-2098.0
2019-07-30,272.0,-2059.0
2019-07-31,504.0,-1827.0
2019-08-01,141.0,-2190.0
2019-08-02,113.0,-2218.0
2019-08-03,,
2019-08-04,,
2019-08-05,225.0,-2106.0
2019-08-06,34.0,-2297.0
2019-08-07,266.0,-2065.0
2019-08-08,357.0,-1974.0
2019-08-09,317.0,-2014.0
2019-08-10,,
2019-08-11,,
2019-08-12,126.0,-2205.0
2019-08-13,99.0,-2232.0
2019-08-14,198.0,-2133.0
2019-08-15,430.0,-1901.0
2019-08-16,453.0,-1878.0
2019-08-17,,
2019-08-18,,
2019-08-19,453.0,-1878.0
2019-08-20,356.0,-1975.0
2019-08-21,486.0,-1845.0
2019-08-22,455.0,-1876.0
2019-08-23,374.0,-1957.0
2019-08-24,,
2019-08-25,,
2019-08-26,374.0,-1957.0
2019-08-27,86.0,-2245.0
2019-08-28,43.0,-2288.0
2019-08-29,275.0,-2056.0
2019-08-30,157.0,-2174.0
2019-08-31,,
2019-09-01,,
2019-09-02,226.0,-2105.0
2019-09-03,195.0,-2136.0
2019-09-04,220.0,-2111.0
2019-09-05,191.0,-2140.0
2019-09-06,110.0,-2221.0
2019-09-07,,
2019-09-08,,
2019-09-09,225.0,-2106.0
2019-09-10,123.0,-2208.0
2019-09-11,51.0,-2280.0
2019-09-12,51.0,-2280.0
2019-09-13,197.0,-2134.0
2019-09-14,,
2019-09-15,,
2019-09-16,197.0,-2134.0
2019-09-17,303.0,-2028.0
2019-09-18,261.0,-2070.0
2019-09-19,638.0,-1693.0
2019-09-20,638.0,-1693.0
2019-09-21,,
2019-09-22,,
2019-09-23,638.0,-1693.0
2019-09-24,636.0,-1695.0
2019-09-25,495.0,-1836.0
2019-09-26,473.0,-1858.0
2019-09-27,304.0,-2027.0
2019-09-28,,
2019-09-29,,
2019-09-30,245.0,-2086.0
2019-10-01,284.0,-2047.0
2019-10-02,284.0,-2047.0
2019-10-03,392.0,-1939.0
2019-10-04,543.0,-1788.0
2019-10-05,,
2019-10-06,,
2019-10-07,1007.0,-1324.0
2019-10-08,1007.0,-1324.0
2019-10-09,1179.0,-1152.0
2019-10-10,1165.0,-1166.0
2019-10-11,1128.0,-1203.0
2019-10-12,,
2019-10-13,,
2019-10-14,1051.0,-1280.0
2019-10-15,1020.0,-1311.0
2019-10-16,760.0,-1571.0
2019-10-17,721.0,-1610.0
2019-10-18,776.0,-1555.0
2019-10-19,,
2019-10-20,,
2019-10-21,992.0,-1339.0
2019-10-22,918.0,-1413.0
2019-10-23,900.0,-1431.0
2019-10-24,891.0,-1440.0
2019-10-25,871.0,-1460.0
2019-10-26,,
2019-10-27,,
2019-10-28,871.0,-1460.0
2019-10-29,854.0,-1477.0
2019-10-30,1318.0,-1013.0
2019-10-31,1280.0,-1051.0
2019-11-01,1323.0,-1008.0
2019-11-02,,
2019-11-03,,
2019-11-04,1269.0,-1062.0
2019-11-05,1208.0,-1123.0
2019-11-06,1295.0,-1036.0
2019-11-07,1293.0,-1038.0
2019-11-08,641.0,-1690.0
2019-11-09,,
2019-11-10,,
2019-11-11,889.0,-1442.0
2019-11-12,1042.0,-1289.0
2019-11-13,942.0,-1389.0
