time,cstrategy,dd
2019-01-02,1091.0,-68.0
2019-01-03,886.0,-273.0
2019-01-04,241.0,-918.0
2019-01-05,,
2019-01-06,,
2019-01-07,241.0,-918.0
2019-01-08,-315.0,-1474.0
2019-01-09,-508.0,-1667.0
2019-01-10,-298.0,-1457.0
2019-01-11,-474.0,-1633.0
2019-01-12,,
2019-01-13,,
2019-01-14,-892.0,-2051.0
2019-01-15,-1253.0,-2412.0
2019-01-16,-1010.0,-2169.0
2019-01-17,-133.0,-1292.0
2019-01-18,-328.0,-1487.0
2019-01-19,,
2019-01-20,,
2019-01-21,-649.0,-1808.0
2019-01-22,-1535.0,-2694.0
2019-01-23,-1605.0,-2764.0
2019-01-24,-1150.0,-2309.0
2019-01-25,,
2019-01-26,,
2019-01-27,,
2019-01-28,-1190.0,-2349.0
2019-01-29,-949.0,-2108.0
2019-01-30,-1588.0,-2747.0
2019-01-31,-1543.0,-2702.0
2019-02-01,-2081.0,-3240.0
2019-02-02,,
2019-02-03,,
2019-02-04,-2049.0,-3208.0
2019-02-05,-2156.0,-3315.0
2019-02-06,-1814.0,-2973.0
2019-02-07,-1450.0,-2609.0
2019-02-08,-1856.0,-3015.0
2019-02-09,,
2019-02-10,,
2019-02-11,-1600.0,-2759.0
2019-02-12,-2200.0,-3359.0
2019-02-13,-2472.0,-3631.0
2019-02-14,-3324.0,-4483.0
2019-02-15,-3765.0,-4924.0
2019-02-16,,
2019-02-17,,
2019-02-18,-3855.0,-5014.0
2019-02-19,-4157.0,-5316.0
2019-02-20,-3768.0,-4927.0
2019-02-21,-4169.0,-5328.0
2019-02-22,-3946.0,-5105.0
2019-02-23,,
2019-02-24,,
2019-02-25,-4214.0,-5373.0
2019-02-26,-4513.0,-5672.0
2019-02-27,-4826.0,-5985.0
2019-02-28,-4430.0,-5589.0
2019-03-01,-4165.0,-5324.0
2019-03-02,,
2019-03-03,,
2019-03-04,,
2019-03-05,,
2019-03-06,-4322.0,-5481.0
2019-03-07,-4286.0,-5445.0
2019-03-08,-3213.0,-4372.0
2019-03-09,,
2019-03-10,,
2019-03-11,-2764.0,-3923.0
2019-03-12,-2970.0,-4129.0
2019-03-13,-2754.0,-3913.0
2019-03-14,-2934.0,-4093.0
2019-03-15,-3061.0,-4220.0
2019-03-16,,
2019-03-17,,
2019-03-18,-3162.0,-4321.0
2019-03-19,-3307.0,-4466.0
2019-03-20,-2471.0,-3630.0
2019-03-21,-2839.0,-3998.0
2019-03-22,-2694.0,-3853.0
2019-03-23,,
2019-03-24,,
2019-03-25,-2803.0,-3962.0
2019-03-26,-2989.0,-4148.0
2019-03-27,-3824.0,-4983.0
2019-03-28,-3271.0,-4430.0
2019-03-29,-3235.0,-4394.0
2019-03-30,,
2019-03-31,,
2019-04-01,-3397.0,-4556.0
2019-04-02,-3845.0,-5004.0
2019-04-03,-3379.0,-4538.0
2019-04-04,-3021.0,-4180.0
2019-04-05,-3180.0,-4339.0
2019-04-06,,
2019-04-07,,
2019-04-08,-3208.0,-4367.0
2019-04-09,-3684.0,-4843.0
2019-04-10,-3841.0,-5000.0
2019-04-11,-3727.0,-4886.0
2019-04-12,-3922.0,-5081.0
2019-04-13,,
2019-04-14,,
2019-04-15,-4397.0,-5556.0
2019-04-16,-4664.0,-5823.0
2019-04-17,-5086.0,-6245.0
2019-04-18,-5118.0,-6277.0
2019-04-19,,
2019-04-20,,
2019-04-21,,
2019-04-22,-5060.0,-6219.0
2019-04-23,-5215.0,-6374.0
2019-04-24,-5737.0,-6896.0
2019-04-25,-5602.0,-6761.0
2019-04-26,-5703.0,-6862.0
2019-04-27,,
2019-04-28,,
2019-04-29,-5737.0,-6896.0
2019-04-30,-6222.0,-7381.0
2019-05-01,,
2019-05-02,-6331.0,-7490.0
2019-05-03,-6514.0,-7673.0
2019-05-04,,
2019-05-05,,
2019-05-06,-6494.0,-7653.0
2019-05-07,-6045.0,-7204.0
2019-05-08,-6196.0,-7355.0
2019-05-09,-6177.0,-7336.0
2019-05-10,-6376.0,-7535.0
2019-05-11,,
2019-05-12,,
2019-05-13,-5511.0,-6670.0
2019-05-14,-5773.0,-6932.0
2019-05-15,-5944.0,-7103.0
2019-05-16,-6420.0,-7579.0
2019-05-17,-6302.0,-7461.0
2019-05-18,,
2019-05-19,,
2019-05-20,-6373.0,-7532.0
2019-05-21,-5882.0,-7041.0
2019-05-22,-6163.0,-7322.0
2019-05-23,-6084.0,-7243.0
2019-05-24,-6007.0,-7166.0
2019-05-25,,
2019-05-26,,
2019-05-27,-6109.0,-7268.0
2019-05-28,-6261.0,-7420.0
2019-05-29,-6321.0,-7480.0
2019-05-30,-6370.0,-7529.0
2019-05-31,-6522.0,-7681.0
2019-06-01,,
2019-06-02,,
2019-06-03,-6248.0,-7407.0
2019-06-04,-6189.0,-7348.0
2019-06-05,-6539.0,-7698.0
2019-06-06,-6821.0,-7980.0
2019-06-07,-7019.0,-8178.0
2019-06-08,,
2019-06-09,,
2019-06-10,-6795.0,-7954.0
2019-06-11,-5825.0,-6984.0
2019-06-12,-5650.0,-6809.0
2019-06-13,-5662.0,-6821.0
2019-06-14,-5402.0,-6561.0
2019-06-15,,
2019-06-16,,
2019-06-17,-5535.0,-6694.0
2019-06-18,-5285.0,-6444.0
2019-06-19,-5024.0,-6183.0
2019-06-20,,
2019-06-21,-5098.0,-6257.0
2019-06-22,,
2019-06-23,,
2019-06-24,-5102.0,-6261.0
2019-06-25,-3872.0,-5031.0
2019-06-26,-4079.0,-5238.0
2019-06-27,-4355.0,-5514.0
2019-06-28,-4409.0,-5568.0
2019-06-29,,
2019-06-30,,
2019-07-01,-4379.0,-5538.0
2019-07-02,-4529.0,-5688.0
2019-07-03,-4841.0,-6000.0
2019-07-04,-4771.0,-5930.0
2019-07-05,-4738.0,-5897.0
2019-07-06,,
2019-07-07,,
2019-07-08,-4776.0,-5935.0
2019-07-09,,
2019-07-10,-5656.0,-6815.0
2019-07-11,-5796.0,-6955.0
2019-07-12,-6274.0,-7433.0
2019-07-13,,
2019-07-14,,
2019-07-15,-6240.0,-7399.0
2019-07-16,-6193.0,-7352.0
2019-07-17,-6880.0,-8039.0
2019-07-18,-7284.0,-8443.0
2019-07-19,-7172.0,-8331.0
2019-07-20,,
2019-07-21,,
2019-07-22,-7208.0,-8367.0
2019-07-23,-7337.0,-8496.0
2019-07-24,-7457.0,-8616.0
2019-07-25,-7465.0,-8624.0
2019-07-26,-7385.0,-8544.0
2019-07-27,,
2019-07-28,,
2019-07-29,-7736.0,-8895.0
2019-07-30,-7759.0,-8918.0
2019-07-31,-7436.0,-8595.0
2019-08-01,-9310.0,-10469.0
2019-08-02,-9170.0,-10329.0
2019-08-03,,
2019-08-04,,
2019-08-05,-9453.0,-10612.0
2019-08-06,-9884.0,-11043.0
2019-08-07,-9953.0,-11112.0
2019-08-08,-9777.0,-10936.0
2019-08-09,-10078.0,-11237.0
2019-08-10,,
2019-08-11,,
2019-08-12,-10336.0,-11495.0
2019-08-13,-10428.0,-11587.0
2019-08-14,-10491.0,-11650.0
2019-08-15,-9682.0,-10841.0
2019-08-16,-9848.0,-11007.0
2019-08-17,,
2019-08-18,,
2019-08-19,-9177.0,-10336.0
2019-08-20,-9314.0,-10473.0
2019-08-21,-9619.0,-10778.0
2019-08-22,-9924.0,-11083.0
2019-08-23,-9886.0,-11045.0
2019-08-24,,
2019-08-25,,
2019-08-26,-9898.0,-11057.0
2019-08-27,-10019.0,-11178.0
2019-08-28,-10153.0,-11312.0
2019-08-29,-9185.0,-10344.0
2019-08-30,-9657.0,-10816.0
2019-08-31,,
2019-09-01,,
2019-09-02,-9409.0,-10568.0
2019-09-03,-9501.0,-10660.0
2019-09-04,-9640.0,-10799.0
2019-09-05,-9349.0,-10508.0
2019-09-06,-9362.0,-10521.0
2019-09-07,,
2019-09-08,,
2019-09-09,-9158.0,-10317.0
2019-09-10,-9217.0,-10376.0
2019-09-11,-9155.0,-10314.0
2019-09-12,-9050.0,-10209.0
2019-09-13,-8405.0,-9564.0
2019-09-14,,
2019-09-15,,
2019-09-16,-8668.0,-9827.0
2019-09-17,-7754.0,-8913.0
2019-09-18,-7588.0,-8747.0
2019-09-19,-7063.0,-8222.0
2019-09-20,-7094.0,-8253.0
2019-09-21,,
2019-09-22,,
2019-09-23,-7090.0,-8249.0
2019-09-24,-7170.0,-8329.0
2019-09-25,-7264.0,-8423.0
2019-09-26,-7431.0,-8590.0
2019-09-27,-7514.0,-8673.0
2019-09-28,,
2019-09-29,,
2019-09-30,-7589.0,-8748.0
2019-10-01,-7724.0,-8883.0
2019-10-02,-7054.0,-8213.0
2019-10-03,-7245.0,-8404.0
2019-10-04,-7386.0,-8545.0
2019-10-05,,
2019-10-06,,
2019-10-07,-6296.0,-7455.0
2019-10-08,-5999.0,-7158.0
2019-10-09,-5811.0,-6970.0
2019-10-10,-5766.0,-6925.0
2019-10-11,-6342.0,-7501.0
2019-10-12,,
2019-10-13,,
2019-10-14,-6540.0,-7699.0
2019-10-15,-6876.0,-8035.0
2019-10-16,-6726.0,-7885.0
2019-10-17,-6961.0,-8120.0
2019-10-18,-6870.0,-8029.0
2019-10-19,,
2019-10-20,,
2019-10-21,-5918.0,-7077.0
2019-10-22,-5982.0,-7141.0
